Ngram,Correlation,specificatie
wat hebben ik,0.05017827226,trigger
# fail #,0.05017827226,trigger
wat zijn ik,0.04001040329,trigger
wat fijn dat,0.04001040329,trigger
begin van de,0.04001040329,trigger
weer naar school,0.03834901847,topic
er zin in,0.03703827046,trigger
van de dag,0.03508757456,???
in de trein,0.03508757456,topic
. # fail,0.03380735944,trigger
"nou , het",0.03380735944,trigger
goed begin van,0.03380735944,trigger
! # fail,0.03380735944,trigger
wat houden ik,0.03380735944,trigger
doen . #,0.03380735944,
", altijd leuk",0.03380735944,trigger
wat een feest,0.03380735944,trigger
in de #,0.03217142638,trigger
zijn het toch,0.03217142638,trigger
", wat een",0.03208198991,trigger
hebben ik er,0.03023482303,
! ! [,0.03023482303,
toch weer goed,0.03023482303,trigger
morgen weer naar,0.03023482303,trigger
mens zijn zo,0.03023482303,topic?
trots op zijn,0.03023482303,trigger
wat een verrassing,0.03023482303,trigger
leuk als je,0.03023482303,trigger
zijn de #,0.03023482303,
fijn als je,0.03023482303,trigger
echt zin in,0.03023482303,trigger
ik toch van,0.03023482303,
zin in school,0.03023482303,trigger
een leuk dag,0.03023482303,trigger
als je ook,0.03023482303,trigger
al zin in,0.03023482303,trigger
nu al zin,0.03023482303,trigger
op de achtergrond,0.03023482303,
. goed bezig,0.03023482303,trigger
", dat zijn",0.02886031595,
via @nunl ),0.02867306153,
! [ newline,0.02867306153,
( via @nunl,0.02867306153,
. wat een,0.02761457341,
. [ newline,0.02642366364,
en ik zijn,0.02618118262,
te maken .,0.02618118262,
op te oplossen,0.02618118262,
bron : @telegraaf,0.02618118262,
in een drukkerij,0.02618118262,
yes ik hebben,0.02618118262,
heel fijn dat,0.02618118262,trigger
gelukkig zijn de,0.02618118262,trigger
hebben er zin,0.02618118262,trigger
de # vvd,0.02618118262,topic?
op school zijn,0.02618118262,topic
"nou nou ,",0.02618118262,trigger
goed bezig .,0.02618118262,trigger
om in de,0.02618118262,
dat zijn leuk,0.02618118262,trigger
zoveel zin in,0.02618118262,trigger
. bron :,0.02618118262,
zijn ... #,0.02618118262,
", dan komen",0.02618118262,
we zijn zo,0.02618118262,trigger
voor de één,0.02618118262,
te doen .,0.02618118262,
dat zijn wel,0.02618118262,trigger
veel zin in,0.02618118262,trigger
missen . #,0.02618118262,
zijn ook weer,0.02618118262,trigger
hebben ik de,0.02618118262,
newline ] #,0.02618118262,
", dat zullen",0.02618118262,
uit de lucht,0.02618118262,
om te werken,0.02618118262,
echt op te,0.02618118262,
in een #,0.02618118262,
moeten je het,0.02618118262,
een feest !,0.02618118262,
naar school .,0.02618118262,topic
veilignederland volgens opstelten,0.02618118262,
# veilignederland volgens,0.02618118262,
# fail http://someurln,0.02618118262,
... # fail,0.02618118262,trigger
. # pgbalarm,0.02618118262,
. zijn dat,0.02618118262,
wat zijn ze,0.02618118262,
vrijheid van meningsuiting,0.02618118262,
echt een goed,0.02618118262,trigger
http://someurl ( via,0.02618118262,
over een uur,0.02618118262,
worden ... #,0.02618118262,
wat zijn we,0.02618118262,trigger
zijn weer eens,0.02618118262,
houden ik toch,0.02618118262,trigger
hebben er echt,0.02618118262,trigger
goed voorbeeld voor,0.02618118262,
"ja , en",0.02618118262,
een productief dag,0.02618118262,topic
leuk dat je,0.02618118262,trigger
wel fijn dat,0.02618118262,trigger
op de dag,0.02618118262,
"goh , wat",0.02618118262,
altijd leuk als,0.02618118262,trigger
# handig #,0.02618118262,
dat hebben ik,0.02618118262,
fijn dat ik,0.02618118262,trigger
kijken er nu,0.02618118262,
al naar uit,0.02618118262,
de dag .,0.02618118262,
. ik kijken,0.02618118262,
er nu al,0.02618118262,
ik voelen me,0.02618118262,
op te afwachten,0.02618118262,
fijn dat het,0.02618118262,
een stuk goed,0.02618118262,
met zijn al,0.02618118262,
