token,average_attr
renoveren,1
courant,1
motiver,1
onuit,1
schijnbaar,1
afd,1
strak,1
boeiende,1
gunstig,1
uitstekende,1
leerzaam,1
efficiã«nt,1
aanwinst,1
uitnod,1
schien,1
geliefd,1
diepe,1
igit,1
chin,1
financ,1
ã¡ã¡r,1
armen,1
liverpool,1
stimuleert,1
overdag,1
koekje,1
gaaf,1
cam,1
vertrekken,1
resh,1
meerwaarde,1
ã©ã©r,1
wekkende,1
perform,1
opmerkelijk,1
uitermate,1
rtv,1
vruchten,1
oete,1
miste,1
journalistiek,1
dictatuur,1
autom,0.9572712779
verantwoordelijke,0.9519187808
conservatieve,0.9514301419
ellige,0.9480278492
gaand,0.9409155846
ongelofelijk,0.9401428103
grapp,0.928034246
chr,0.9258038402
veiliger,0.9247477055
gezell,0.9160749316
vernieuwing,0.9096114635
variatie,0.9083949327
archie,0.8984481692
schept,0.8709436655
atieve,0.8691520989
great,0.8671376109
corre,0.8652974963
ophouden,0.8637353778
traum,0.8619477153
vanouds,0.8609476089
frustr,0.8594076037
timate,0.8590076566
betrokken,0.8568505049
soepele,0.8485754728
rede,0.8478787541
representatief,0.8374477625
commun,0.8305195868
have,0.8266961575
gezind,0.8266708851
verassen,0.8207058907
iller,0.800594151
gesteund,0.7989486456
rikken,0.7966806293
akkelijk,0.7928518653
gemotiveerd,0.786850363
barst,0.7693765163
vooruitgang,0.7663980722
krom,0.7625869513
levensgevaar,0.7543505132
oorder,0.7484600544
ongelooflijke,0.7449450791
²,0.736815691
ail,0.729405222
voorlopige,0.7290077806
elite,0.7278758883
sex,0.726326406
gezellige,0.7181128498
imenten,0.7151736617
vooruitstreven,0.7145463526
tek,0.7099038959
geile,0.7027656436
toenemend,0.6944076419
uiting,0.6940960288
verbetering,0.6933384538
excelsior,0.6856189966
schouder,0.6849464774
zalig,0.6799473378
beroemd,0.6773151755
vinding,0.6739153266
charmante,0.6724815369
lekkere,0.6716833947
rouwbare,0.6634350394
geleend,0.6604058743
prikk,0.6581718922
healing,0.6539994478
motiveert,0.6526023597
geweldig,0.6519089739
sensatie,0.6516761929
super,0.6510914865
jaarlijks,0.6507932544
vreselijk,0.6455639998
plotselinge,0.6451459527
schild,0.6447738409
igent,0.6352595091
hat,0.6351707578
ziel,0.6299749017
andem,0.6292643547
enorm,0.6244425435
getuigt,0.6193617582
frisse,0.6182262897
perfecte,0.6153261989
dictator,0.6136125922
fijn,0.6099222378
joep,0.6089064106
bedacht,0.6083122492
inte,0.6070652008
usten,0.6061475873
monster,0.6051594615
geweld,0.60316511
schaden,0.5993071198
auna,0.5986070037
daardoor,0.5955705643
piepen,0.5951744318
logisch,0.5932072593
gelukkig,0.5917961346
top,0.5916375536
oons,0.5910445452
onge,0.5896136165
waalse,0.5877754688
verstandig,0.5858408809
topper,0.5836835559
constructieve,0.5827092528
jess,0.5826159716
assing,0.5815050006
woest,0.578989327
hypoc,0.575514853
gevoeld,0.5642286539
ipp,0.5639612936
besch,0.5559759885
aging,0.554720819
zucht,0.5540842824
zadel,0.5513609052
oemd,0.5451204628
heerlijk,0.5429337812
fel,0.5415844396
initiatief,0.5411289334
zege,0.5373443365
controle,0.5348678711
zin,0.5283758583
meerderheid,0.527944386
quality,0.5262793712
".""",0.524848733
glorie,0.5234951377
uitmunten,0.5231912136
ucking,0.5209636092
gebouw,0.5205991864
what,0.5198925156
opvallend,0.5183269423
potje,0.5178011674
goe,0.5169732552
knap,0.5115017714
wereldoorlog,0.5074808579
itan,0.5069493698
veiligheid,0.5057837887
christenen,0.5057207556
fijne,0.5056476099
lot,0.505546703
iver,0.5038658977
atiek,0.5021763684
dynam,0.5012043269
oedend,0.5002843738
snor,0.5002455418
paal,0.5001032496
onweer,0.5
passen,0.4996095123
oprechte,0.4991435582
detail,0.4974065672
sterk,0.4973786087
vreugde,0.497256726
.',0.4968946166
fier,0.4955170886
goed,0.4952871586
proport,0.4951374233
propaganda,0.4949174267
geweldige,0.4939688623
veront,0.4933830672
overleef,0.4929482033
linkse,0.4919866109
risico,0.4901325088
dubai,0.4897394553
behoefte,0.4894913435
tellen,0.4891591854
spannend,0.4891099386
fraai,0.4866023744
stukken,0.4832041711
athie,0.4823618829
inbreng,0.4799251556
zakt,0.4793502986
iaal,0.4783675693
iete,0.4744380563
touw,0.4736029953
zeg,0.4722638339
handig,0.4706423305
verrassend,0.4702536976
asme,0.4666584951
tof,0.4662487484
bonden,0.4653643329
maps,0.4645189047
volkomen,0.4628547505
",",0.4620846856
centrale,0.46199283
loos,0.4614311854
gesprongen,0.4608867131
jezus,0.4606960788
rouwbaar,0.4589179605
schapen,0.4567133561
rebellen,0.4537412673
kwaad,0.4524249931
professional,0.450986594
wettelijke,0.4508847892
verzonnen,0.4478289485
echt,0.447358848
mensenrechten,0.4471003115
verdiende,0.4461355119
pijnlijke,0.4458810091
igend,0.4440619424
verwend,0.4437238276
verdienen,0.4432479441
ware,0.4429066826
hoer,0.4425790608
bereiken,0.442147702
itterend,0.4420141426
legt,0.4392320141
ongetwijfeld,0.4378180007
lol,0.4369295333
tag,0.4361586571
veranderen,0.4352019448
leeft,0.4349883944
alom,0.4347786456
stoer,0.4339631568
stig,0.4328068218
heerlijke,0.4322811368
blij,0.4316475686
origineel,0.4301157072
lekker,0.4295938497
leiden,0.4275643218
gaande,0.4266056046
manchester,0.4261463284
shell,0.4230753183
opwinding,0.4229301512
intellectuele,0.420714885
verantwoord,0.4205338762
afgesproken,0.4199410826
beveiliging,0.4195482731
stemt,0.4188281894
istent,0.4187807143
iefd,0.4185914695
converteren,0.4185363352
middag,0.4156816996
fabrieken,0.4151700735
troepen,0.4150662422
bruisende,0.412997216
hit,0.4126278758
!!!!!,0.4123226634
vanzelf,0.4115813673
dol,0.4104829133
leek,0.4094737917
wissel,0.4088438054
schiedam,0.4080600739
ankt,0.4070639014
akkoord,0.4061602894
extreem,0.4056559205
positie,0.4055175606
kortom,0.4054603527
dom,0.4043206821
mainst,0.4041687341
indrukwekkend,0.4037043452
yes,0.4012042284
dividend,0.4004193246
massale,0.3990987837
bewezen,0.3989645541
uzer,0.398540318
innerlijk,0.395103246
indruk,0.3943127058
fun,0.3940923738
hã¨,0.3937732548
inen,0.392968446
richtings,0.3928861022
houdend,0.3926968277
essies,0.3926285505
eerdere,0.3913595378
......,0.3908551327
betrouwbaar,0.3904720098
apart,0.3895557523
productie,0.3893324527
schoolreis,0.3873868883
succesvol,0.3873785734
schade,0.3864249289
veil,0.3857603647
hum,0.385751496
gebleken,0.3837629557
openen,0.3825282156
lullen,0.3816993162
idioot,0.3797921948
ã¡,0.3780543506
harde,0.3759579386
ptie,0.373863399
fecte,0.3736318151
priv,0.3732585526
waardigheid,0.3722282052
opener,0.3702801168
uitgewerkt,0.3693976104
vertrouwen,0.3687610258
verb,0.3680367643
volks,0.3669895828
feest,0.366159651
want,0.3653239236
alert,0.3651589751
vermoorden,0.3650036438
wets,0.364738971
nieuwjaar,0.3635570705
treffen,0.3627406359
daadwerkelijk,0.3625893104
pik,0.3625458479
cry,0.3614645004
ieven,0.3611309826
under,0.3608686924
.....,0.3606688136
rak,0.3602286987
geluk,0.3596479134
zinvol,0.3591130376
iedenis,0.3588470221
perfect,0.3585119774
omhoog,0.3576001127
comfort,0.3575233817
dapper,0.3555279374
betrouwbare,0.3545265794
leuk,0.3544124462
herinnerd,0.3541403115
missie,0.3536813082
geur,0.3535414661
werkers,0.3520775419
compleet,0.3520344861
geacht,0.351747036
shulp,0.3507714272
verdient,0.3504605088
dynamisch,0.3494662642
bok,0.3485994637
kern,0.3482383067
daarnaast,0.3466162086
fucking,0.3462718818
gezond,0.3461252782
isch,0.3448809004
raai,0.3447202444
fatsoenlijk,0.3439462334
durft,0.3403235972
aardig,0.3401638833
vast,0.3393706991
vrolijk,0.3391689357
kippen,0.3388397098
inzichten,0.3385354877
wettelijk,0.3384915888
eels,0.3362730294
belangen,0.3355745971
vermoedelijk,0.334681958
high,0.3346150666
ilers,0.3340366185
oera,0.3333333333
geschikt,0.3313678801
iter,0.3313412964
lijke,0.3311262807
vrijdagmiddag,0.3302091956
ideaal,0.3283613293
arr,0.328114616
scheef,0.3278177679
veroordeeld,0.3269903362
lik,0.3251715731
wat,0.3247863019
weer,0.324619264
progressieve,0.3238621652
ontzettend,0.3237931518
prima,0.3235723734
uurlijk,0.3200997668
oã¯,0.3196482584
bezig,0.3195353261
vet,0.3188622958
ooft,0.3178312778
ieke,0.3167534922
cil,0.3164502978
beloofd,0.3159028366
erkl,0.3158679008
standje,0.3155095875
---,0.3146242201
zo,0.3145757322
griekse,0.3144049346
correcte,0.3133541048
economische,0.3130720416
