Ngram,Correlation,specification
# fail,0.08735057012,trigger
wat een,0.07366494565,trigger
zin in,0.06780790211,trigger
"nou ,",0.06423889748,trigger
naar school,0.06374340634,topic
. goed,0.0601241903,trigger
fijn dat,0.05629752416,trigger
hebben ik,0.05365925673,trigger
. .,0.05304481355,punct trigger
weer naar,0.0508701421,trigger
fail #,0.05017827226,trigger
# pgbalarm,0.05017827226,
een feest,0.05017827226,trigger topic?
dat zijn,0.05006203993,
. #,0.04846587264,
"goh ,",0.04783772099,
zijn zo,0.04661274192,trigger
zo goed,0.04623686388,trigger
begin van,0.04537774055,
. heel,0.04537774055,
: ',0.04311828587,
# ajax,0.04277773138,
wat fijn,0.04277773138,
", altijd",0.04277773138,
school .,0.04277773138,topic
] #,0.04277773138,
"ja ,",0.0417557206,
. en,0.04132667437,
wat hebben,0.04132667437,
"school ,",0.04113013108,topic
gelukkig zijn,0.04058179205,trigger
goed bezig,0.04058179205,trigger
op school,0.04057222289,topic
dat gaan,0.04001040329,
zijn natuurlijk,0.04001040329,
. fijn,0.04001040329,trigger
", worden",0.04001040329,
weer goed,0.04001040329,trigger
er zin,0.04001040329,
te werken,0.04001040329,
voelen me,0.04001040329,
""" #",0.04001040329,
te hebben,0.04001040329,
ik toch,0.03844339087,trigger
weer lekker,0.03834901847,trigger
omdat ik,0.03834901847,
een geweldig,0.03834901847,trigger
een uur,0.03834901847,
altijd leuk,0.03803171699,trigger
morgen weer,0.03803171699,trigger
zo leuk,0.03791191018,trigger
# ns,0.03791191018,topic
via @nunl,0.03791191018,
heel fijn,0.03703827046,trigger
aan mijn,0.03703827046,
altijd zo,0.03703827046,
ook heel,0.03703827046,
school zijn,0.03703827046,
veel zin,0.03703827046,trigger
goed regelen,0.03703827046,trigger
leuk als,0.03703827046,
", leuk",0.03703827046,
wat houden,0.03703827046,
missen .,0.03703827046,
houden ik,0.03703827046,
toch nog,0.03703827046,
goed met,0.03703827046,
. wat,0.0369351714,
zijn #,0.03684834217,
dat de,0.03662968177,
". """,0.03592354876,
weer een,0.03585993353,trigger
het toch,0.03537689528,trigger
. gelukkig,0.03537689528,
fijn .,0.03537689528,trigger
werken .,0.03537689528,
( via,0.03537689528,
het zo,0.03537689528,
dat iedereen,0.03537689528,
. echt,0.03508757456,
hebben #,0.03508757456,
er nu,0.03508757456,
ook echt,0.03508757456,trigger
. [,0.03506083572,
op te,0.03414356999,
de trein,0.03414356999,
een gezellig,0.03380735944,trigger
tijd !,0.03380735944,
zijn altijd,0.03380735944,trigger
"joh ,",0.03380735944,
zeker ?,0.03380735944,
zin om,0.03380735944,
school hebben,0.03380735944,
wachten .,0.03380735944,
. lekker,0.03380735944,
altijd fijn,0.03380735944,trigger
gaan werken,0.03380735944,topic
. !,0.03380735944,
oh wat,0.03380735944,
gaan met,0.03380735944,
dit gaan,0.03380735944,
me niet,0.03380735944,
alsof ik,0.03380735944,
zijn zeker,0.03380735944,
zijn gaan,0.03380735944,
een verrassing,0.03380735944,
. gaat,0.03380735944,
leuk dag,0.03380735944,
de lijn,0.03380735944,
echt zin,0.03380735944,trigger
zijn leuk,0.03380735944,trigger
gaan #,0.03380735944,
zullen ze,0.03380735944,
goed begin,0.03380735944,trigger
weer van,0.03380735944,trigger
... #,0.03344000168,
zijn echt,0.03261686831,trigger
toch een,0.03255876239,trigger
# dwdd,0.03255876239,
 http://someurl,0.03255876239,
dat zullen,0.03217142638,
dat al,0.03217142638,
leuk dat,0.03217142638,trigger
aan .,0.03217142638,
uit .,0.03217142638,
toch weer,0.03208198991,trigger
ook zo,0.03208198991,trigger
ook weer,0.03208198991,trigger
", wat",0.03138425913,trigger
aan de,0.03131473128,
echt een,0.03128468901,
dan komen,0.03023482303,
# mh17,0.03023482303,
# veilignederland,0.03023482303,
", laten",0.03023482303,
# logisch,0.03023482303,trigger
", alsof",0.03023482303,
doe ik,0.03023482303,
goed komen,0.03023482303,
school en,0.03023482303,
vandaag #,0.03023482303,
logisch .,0.03023482303,
", weer",0.03023482303,
gelijk een,0.03023482303,
dag worden,0.03023482303,
"oh ,",0.03023482303,
pas om,0.03023482303,
de schuld,0.03023482303,
..... #,0.03023482303,
oplossen .,0.03023482303,
ja daar,0.03023482303,
in school,0.03023482303,
- ',0.03023482303,
wauw .,0.03023482303,
. wauw,0.03023482303,
zullen zijn,0.03023482303,
weer gaan,0.03023482303,
fijn als,0.03023482303,
tweet zijn,0.03023482303,
me goed,0.03023482303,
met hoofdpijn,0.03023482303,
de ns,0.03023482303,
kunnen dat,0.03023482303,
me zo,0.03023482303,
de economie,0.03023482303,
het perfect,0.03023482303,
zijn eigenlijk,0.03023482303,
weer veel,0.03023482303,
aan ...,0.03023482303,
) #,0.03023482303,
. joepie,0.03023482303,
dat ',0.03023482303,
] maar,0.03023482303,
en dus,0.03023482303,
beginnen al,0.03023482303,
ik alles,0.03023482303,
worden het,0.03023482303,
iedereen in,0.03023482303,
toch van,0.03023482303,
zeggen ..,0.03023482303,
lekker bezig,0.03023482303,
morgen school,0.03023482303,
worden altijd,0.03023482303,
toch leuk,0.03023482303,
