Ngram,Correlation,specification
goed,0.1058492192,Adj / adv trigger
school,0.09375464984,noun topic
weer,0.09061023242,noun topic / trigger
fijn,0.08831133349,adj trigger
fail,0.08735057012,trigger
lekker,0.08366805406,adj trigger
wat,0.08272329146,trigger
.,0.0801965934,punct trigger
echt,0.07784624269,intensifier
zin,0.077773349,part of multiword trigger
zo,0.06919548822,trigger
oh,0.06913306149,interjection
gelukkig,0.06468142656,adj trigger
top,0.06428571114,adj trigger
leuk,0.06394101294,adj trigger
trein,0.0593670365,noun topic
altijd,0.0593210369,trigger
toch,0.05731271864,trigger
goh,0.05629752416,interjection
zo'n,0.05597580045,trigger
perfect,0.05582310464,adj trigger
ja,0.05480136156,trigger?
geweldig,0.05306283608,adj trigger
tuurlijk,0.0508701421,trigger
pgbalarm,0.05017827226,???
gaan,0.04981756454,???
vast,0.04856468095,trigger
vertrouwen,0.04783772099,???
ns,0.04779893356,name topic
een,0.04775301308,???
handig,0.04757774866,adj trigger
"""",0.04755161152,punct trigger
dat,0.04724301869,
om,0.04674423966,
goe,0.04537774055,trigger typo
economie,0.04537774055,
staat,0.04537774055,
gezellig,0.04445350036,adj trigger
gaat,0.04375148548,
oplossen,0.04375148548,
te,0.04320032398,
@nunl,0.04311828587,
joepie,0.04277773138,trigger
zullen,0.04254881787,
mens,0.04237900561,
die,0.04214497471,
bezig,0.04200826883,part of multiword trigger
feest,0.04190366556,noun trigger?
werken,0.041701959,topic
verrassen,0.04113013108,
drie,0.04113013108,
want,0.04099568731,
logisch,0.04086065932,
nou,0.04008206291,
@tijd,0.04001040329,
fijne,0.04001040329,
zijn,0.03944210373,
#,0.03890955168,
hoor,0.03870802866,
plaats,0.03834901847,
stoer,0.03834901847,
sterk,0.03803171699,
daar,0.03798477839,
@telegraaf,0.03791191018,
wegens,0.03703827046,
zooo,0.03703827046,trigger flooding
dacht,0.03703827046,
-_-,0.03703827046,emoji trigger
...,0.03640496913,punct trigger
totaal,0.03592354876,trigger
ajax,0.03592354876,
volledig,0.03537689528,trigger
moeder,0.03537689528,
zorg,0.03537689528,
parijs,0.03537689528,
begin,0.03536642964,
joh,0.03508757456,
service,0.03508757456,
,0.03495772387,
blij,0.03382183776,
racisme,0.03380735944,
°,0.03380735944,
meningsuiting,0.03380735944,
vakbond,0.03380735944,
verandering,0.03380735944,
provinciaal,0.03380735944,
http://somepicture,0.03380735944,
gijzeling,0.03380735944,
post,0.03380735944,
uplace,0.03380735944,
verhogen,0.03380735944,
achtergrond,0.03380735944,
objectief,0.03380735944,
—,0.03380735944,
privacy,0.03380735944,
campagne,0.03380735944,
twee,0.03368671429,
super,0.03362839254,
al,0.03357834969,
ah,0.03261518981,
dwdd,0.03255876239,
de,0.03243094083,
heel,0.03238382641,
verrassing,0.03217142638,
o,0.03217142638,
verkiezing,0.03217142638,
onderzoek,0.03217142638,
vrolijk,0.03217142638,
vertraging,0.03217142638,
fantastisch,0.03208198991,
bedankt,0.03155257979,
terwijl,0.03155257979,
politie,0.03155257979,
6,0.03138425913,
hahaha,0.03128468901,
jongen,0.03052516871,
spoor,0.03023482303,
brekend,0.03023482303,
regelen,0.02958695649,
enorm,0.02958695649,
leren,0.02935379346,
beginnen,0.02935379346,
..,0.02918228369,
proberen,0.02886031595,
tof,0.02886031595,
start,0.02886031595,
opstelten,0.02886031595,
partij,0.02886031595,
worden,0.02873147767,
half,0.02871398127,
knap,0.02867306153,
gezelligheid,0.02867306153,
teeven,0.02867306153,
geschiedenis,0.02867306153,
kwartier,0.02867306153,
sneeuw,0.02867306153,
schijnen,0.02867306153,
opnemen,0.02867306153,
slag,0.02867306153,
heerlijk,0.02783313838,
pvda,0.02761457341,
plan,0.02761457341,
grappig,0.02742648065,
leven,0.02729457111,
me,0.02673730772,
natuurlijk,0.02652848886,
verwachten,0.02642366364,
extra,0.02642366364,
facebook,0.02642366364,
rutte,0.02642366364,
rabobank,0.02618118262,
interessant,0.02600573829,
aan,0.02568392287,
nosjournaal,0.02537605001,
schuld,0.02537605001,
slaan,0.02537605001,
huis,0.0251500851,
chill,0.02479391869,
12,0.02479391869,
topper,0.02479391869,
✌,0.02479391869,
regenen,0.02479391869,
keuze,0.02479391869,
100,0.02479391869,
<,0.02479391869,
drama,0.02479391869,
wacht,0.02479391869,
breda,0.02479391869,
akkoord,0.02479391869,
journaal,0.02479391869,
wél,0.02479391869,
medelijden,0.02479391869,
d66,0.02479391869,
tafel,0.02479391869,
jeej,0.02479391869,
belangrijk,0.02466176872,
lachen,0.02466176872,
yes,0.02466176872,
land,0.02453573274,
naam,0.02453573274,
stem,0.02453573274,
uur,0.02452354855,
5,0.02421786156,
ziek,0.02351778684,
.....,0.02338940126,
tot,0.02332101055,
krijgen,0.0232326446,
men,0.02303384873,
vet,0.02303384873,
reden,0.02303384873,
regen,0.02301862043,
voelen,0.02264703868,
wauw,0.02252915844,
da,0.02252915844,
hebben,0.02193954509,
slim,0.02176587439,
daarna,0.02176587439,
stuk,0.02166403746,
zingen,0.02156512137,
manier,0.02156512137,
tandarts,0.02156512137,
melden,0.02156512137,
feit,0.02156512137,
vrijheid,0.02156512137,
ikvertrek,0.02156512137,
compleet,0.02156512137,
europa,0.02156512137,
heten,0.02156512137,
hé,0.02156512137,
miljoen,0.02156512137,
zeker,0.02143891592,
rotterdam,0.02126200279,
alsof,0.02126200279,
prima,0.02126200279,
binnen,0.02089901276,
omdat,0.02081288601,
vvd,0.02070939131,
indruk,0.02039585195,
kerel,0.02039585195,
wind,0.02039585195,
betrouwbaar,0.02039585195,
aanval,0.02039585195,
internationaal,0.02039585195,
medewerker,0.02039585195,
droog,0.02039585195,
$,0.02039585195,
haag,0.02039585195,
wezen,0.02039585195,
lach,0.02039585195,
steken,0.02039585195,
bereikbaar,0.02039585195,
deal,0.02039585195,
zak,0.02039585195,
helft,0.02039585195,
pvv,0.02039585195,
vlaams,0.02039585195,
vluchteling,0.02039585195,
tenminste,0.02039585195,
kei,0.02039585195,
orde,0.02039585195,
hoera,0.02039585195,
bestuurder,0.02039585195,
isis,0.02039585195,
ze,0.01994994275,
lol,0.01986271718,
bank,0.01986271718,
ach,0.01986271718,
vroeg,0.01986271718,
vriend,0.01986271718,
wachten,0.01960272998,
blijven,0.01939791921,
is,0.01937161343,
stemmen,0.01937161343,
regering,0.01937161343,
ontzettend,0.01937161343,
richting,0.01937161343,
als,0.0193091772,
nederland,0.01901548119,
ook,0.0189755746,
zeggen,0.01872410608,
he,0.01872249599,
duidelijk,0.01872249599,
vol,0.01872249599,
hard,0.01854147174,
bij,0.01853160271,
in,0.01815075266,
haar,0.01807858566,
nederlands,0.01777095764,
kiezen,0.01775975272,
lijn,0.01775975272,
tja,0.01775975272,
daarom,0.01775975272,
zitten,0.01743515815,
vader,0.01733571976,
stap,0.01733571976,
20,0.01733571976,
tekenen,0.01733571976,
dankzij,0.01733571976,
oorlog,0.01733571976,
vervelend,0.01733571976,
charliehebdo,0.01733571976,
jaja,0.01733571976,
winter,0.01733571976,
debat,0.01733571976,
kop,0.01733571976,
ondernemer,0.01733571976,
persoonlijk,0.01733571976,
missen,0.01665951619,
enkel,0.01651270308,
open,0.01651270308,
vergeten,0.01651270308,
pas,0.01626331979,
....,0.01625529722,
het,0.01599593322,
tijd,0.01588706804,
xd,0.01551207215,
bus,0.01551207215,
amai,0.01537520474,
enzo,0.01537520474,
buur,0.01537520474,
oog,0.01537520474,
storing,0.01537520474,
ineens,0.01537520474,
zalig,0.01537520474,
......,0.01537520474,
recht,0.01537520474,
min,0.01537520474,
gevoel,0.01537520474,
winst,0.01537520474,
@ziggowebcare,0.01537520474,
bekend,0.01537520474,
water,0.01537520474,
persoon,0.01537520474,
verbinding,0.01524198707,
strijd,0.01524198707,
reageren,0.01524198707,
schoon,0.01524198707,
alles,0.01516246821,
kind,0.01511329291,
nee,0.01475114239,
hè,0.01468703721,
les,0.01468703721,
